job,seed,route_master,schedule,status,verification,errors
完成时间基准,202603,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 12.451573957175425, 'lower_bound': 12.451573957175425, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202603, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 2, 'message': 'The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)', 'has_incumbent': False, 'success': False, 'optimal': False, 'objective': None, 'lower_bound': None, 'mip_gap': None, 'nodes': 0, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81514.03721438526, 'seed': 202603}]",no_schedule_incumbent,,
能耗基准,202602,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 17.08240895306641, 'lower_bound': 17.08240895306641, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202602, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 10030.44593293772, 'lower_bound': 4015.442864435243, 'mip_gap': 0.5996745417619535, 'nodes': 2366, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81601.18179050676, 'seed': 202602, 'matrix_residual': 6.821210263296962e-13, 'integer_error': 7.216449660063518e-16, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 531.9583147042888, 'lower_bound': 0.0, 'mip_gap': 1.0, 'nodes': 1119, 'capC': 10030.44593293772, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81601.18179050676, 'seed': 202603, 'matrix_residual': 2.220446049250313e-16, 'integer_error': 1.164417955851486e-16, 'accepted': True}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
及时性基准,202604,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 4.0596579751294595, 'lower_bound': 4.0596579751294595, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202604, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 9973.41234449048, 'lower_bound': 3997.7303355858803, 'mip_gap': 0.5991612301285919, 'nodes': 1831, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81601.18179050676, 'seed': 202604, 'matrix_residual': 9.094947017729282e-13, 'integer_error': 1.1102230246251565e-16, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 590.4904907732091, 'lower_bound': 0.0, 'mip_gap': 1.0, 'nodes': 1233, 'capC': 9973.41234449048, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81601.18179050676, 'seed': 202605, 'matrix_residual': 2.1827872842550278e-10, 'integer_error': 4.070824601125489e-13, 'accepted': True}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
架次数基准,202601,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 18.129461476705394, 'lower_bound': 18.129461476705394, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202601, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 9831.92659691419, 'lower_bound': 3300.294846849217, 'mip_gap': 0.6643287748013665, 'nodes': 1093, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81601.18179050676, 'seed': 202601, 'matrix_residual': 4.547473508864641e-13, 'integer_error': 0.0, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 507.28666651219095, 'lower_bound': 0.0, 'mip_gap': 1.0, 'nodes': 1586, 'capC': 9831.92659691419, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81601.18179050676, 'seed': 202602, 'matrix_residual': 0.0, 'integer_error': 0.0, 'accepted': True}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
等权基准,202605,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 12.649144937823642, 'lower_bound': 12.649144937823642, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202605, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 9864.685367659045, 'lower_bound': 2436.1777110992607, 'mip_gap': 0.7530405055708957, 'nodes': 1514, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81601.18179050676, 'seed': 202605, 'matrix_residual': 4.547473508864641e-13, 'integer_error': 6.217248937900877e-15, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 409.11547823802186, 'lower_bound': 0.0, 'mip_gap': 1.0, 'nodes': 1420, 'capC': 9864.685367659045, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81601.18179050676, 'seed': 202606, 'matrix_residual': 0.0, 'integer_error': 1.1102230246251565e-16, 'accepted': True}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
随机偏好01,202606,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 11.515920650823835, 'lower_bound': 11.515920650823835, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202606, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 10235.287313615627, 'lower_bound': 4343.778409509954, 'mip_gap': 0.5756075744223041, 'nodes': 1364, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81658.9615329403, 'seed': 202606, 'matrix_residual': 5.9117155615240335e-12, 'integer_error': 8.881784197001252e-16, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 465.32460759497826, 'lower_bound': 0.0, 'mip_gap': 1.0, 'nodes': 1529, 'capC': 10235.287313615632, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81658.9615329403, 'seed': 202607, 'matrix_residual': 1.4551915228366852e-09, 'integer_error': 1.942890293094024e-14, 'accepted': True}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
随机偏好02,202607,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 14.837062983102523, 'lower_bound': 14.837062983102523, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202607, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 9825.930625107469, 'lower_bound': 4064.893660818162, 'mip_gap': 0.5863095501171725, 'nodes': 1537, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81658.9615329403, 'seed': 202607, 'matrix_residual': 1.6007106751203537e-10, 'integer_error': 1.8053750779295783e-14, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)', 'has_incumbent': False, 'success': False, 'optimal': False, 'objective': None, 'lower_bound': None, 'mip_gap': None, 'nodes': 0, 'capC': 9825.930625107467, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81658.9615329403, 'seed': 202608}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
随机偏好03,202608,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 10.569736499875315, 'lower_bound': 10.569736499875315, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202608, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 9631.68262921339, 'lower_bound': 4348.6179139553815, 'mip_gap': 0.548509011212039, 'nodes': 2004, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81658.9615329403, 'seed': 202608, 'matrix_residual': 2.886579864025407e-15, 'integer_error': 2.1094237467877974e-15, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)', 'has_incumbent': False, 'success': False, 'optimal': False, 'objective': None, 'lower_bound': None, 'mip_gap': None, 'nodes': 0, 'capC': 9631.68262921339, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81658.9615329403, 'seed': 202609}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
随机偏好04,202609,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 16.21193655067218, 'lower_bound': 16.21193655067218, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202609, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 10129.017377092028, 'lower_bound': 2436.1777110992607, 'mip_gap': 0.7594852866370864, 'nodes': 1915, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81658.9615329403, 'seed': 202609, 'matrix_residual': 2.473825588822365e-10, 'integer_error': 4.154084483805794e-15, 'accepted': True}, {'stage': 'L', 'status': 1, 'message': 'Time limit reached. (HiGHS Status 13: Time limit reached)', 'has_incumbent': True, 'success': False, 'optimal': False, 'objective': 542.1593869434201, 'lower_bound': 27.484702425271344, 'mip_gap': 0.9493051248633279, 'nodes': 1029, 'capC': 10129.017377092028, 'capL': None, 'variables': 1318, 'constraints': 2961, 'horizon': 81658.9615329403, 'seed': 202610, 'matrix_residual': 9.094947017729282e-13, 'integer_error': 2.220446049250313e-16, 'accepted': True}]",feasible,"{'route_physics': True, 'unique_coverage': True, 'destination': True, 'hard_deadlines': True, 'delivery_rebuild': True, 'uav_nonoverlap': True, 'battery_nonoverlap': True, 'soc': True, 'objective': True, 'all': True}",[]
随机偏好05,202610,"{'stage': 'route_master', 'status': 0, 'message': 'Optimization terminated successfully. (HiGHS Status 7: Optimal)', 'has_incumbent': True, 'success': True, 'objective': 12.674533373210187, 'lower_bound': 12.674533373210187, 'mip_gap': 0.0, 'nodes': 1, 'capN': None, 'capE': None, 'seed': 202610, 'candidates': 1724, 'accepted': True, 'selected_routes': 20}","[{'stage': 'C', 'status': 2, 'message': 'The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None)', 'has_incumbent': False, 'success': False, 'optimal': False, 'objective': None, 'lower_bound': None, 'mip_gap': None, 'nodes': 0, 'capC': None, 'capL': None, 'variables': 1318, 'constraints': 2960, 'horizon': 81595.35632377485, 'seed': 202610}]",no_schedule_incumbent,,
